id,name,symbol,slug,num_market_pairs,date_added,max_supply,circulating_supply,total_supply,platform,cmc_rank,last_updated,price,volume_24h,volume_change_24h,percent_change_1h,percent_change_24h,percent_change_7d,percent_change_30d,percent_change_60d,percent_change_90d,market_cap,market_cap_dominance,fully_diluted_market_cap,last_updated
3945,Harmony,ONE,harmony,57,2019-06-01T00:00:00.000Z,,10793514678,13244161678,,61,2021-11-14T08:46:10.000Z,0.276796472,105229776.3,-25.4315,-0.34620762,0.312874,-10.26224105,30.35150582,57.24700463,143.2166507,2987606785,0.1064,3665937229,2021-11-14T08:46:10.000Z
4847,Stacks,STX,stacks,36,2019-10-28T00:00:00.000Z,1818000000,1284408915,1352464600,,62,2021-11-14T08:46:08.000Z,2.252470728,77258928.44,-58.6106,-2.20111037,-6.10670576,9.09683822,12.0260533,46.55303709,50.88149547,2893093483,0.103,4094991783,2021-11-14T08:46:08.000Z
3957,UNUS SED LEO,LEO,unus-sed-leo,16,2019-05-21T00:00:00.000Z,,953954130,985239504,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x2af5d2ad76741191d15dfe7bf6ac92d4bd912ca3'}",63,2021-11-14T08:46:09.000Z,2.7285446,3746974.905,35.7601,-0.74463888,-11.93993787,-15.1835165,-1.13534833,-12.07663871,-8.4948384,2602906390,0.0927,2688269928,2021-11-14T08:46:09.000Z
1437,Zcash,ZEC,zcash,223,2016-10-29T00:00:00.000Z,21000000,13083325,13083325,,64,2021-11-14T08:47:05.000Z,195.8897734,321677401.5,-33.4952,-0.93552984,-5.49973019,22.02233177,61.53595406,48.65722043,26.59036122,2562889569,0.0913,4113685241,2021-11-14T08:47:05.000Z
6210,The Sandbox,SAND,the-sandbox,125,2020-08-05T00:00:00.000Z,3000000000,892246119.2,3000000000,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0x3845badAde8e6dFF049820680d1F14bD3903a5d0'}",65,2021-11-14T08:47:03.000Z,2.87618114,2243447256,-4.6286,2.14549431,-5.113043,8.95521782,292.6568515,269.5747144,338.7306645,2566261461,0.0914,8628543421,2021-11-14T08:47:03.000Z
2130,Enjin Coin,ENJ,enjin-coin,184,2017-11-01T00:00:00.000Z,1000000000,834340659.6,1000000000,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xf629cbd94d3791c9250152bd8dfbdf380e2a3b9c'}",66,2021-11-14T08:47:03.000Z,3.011231834,346862790.8,-38.0274,-0.14204614,-6.46512658,-10.46103874,94.97200791,75.61075281,76.96723656,2512393154,0.0894,3011231834,2021-11-14T08:47:03.000Z
1274,Waves,WAVES,waves,148,2016-06-02T00:00:00.000Z,,106692658,106692658,,67,2021-11-14T08:47:04.000Z,23.34037569,84444340.21,-1.8984,-0.31750171,-0.5217298,-6.48679022,-23.90507832,-20.73478011,-4.39015113,2490246721,0.0887,2490246721,2021-11-14T08:47:04.000Z
3718,BitTorrent,BTT,bittorrent,150,2019-01-31T00:00:00.000Z,,6.60E+11,9.90E+11,"{'id': 1958, 'name': 'Tron10', 'symbol': 'TRX', 'slug': 'tron', 'token_address': '1002000'}",68,2021-11-14T08:47:07.000Z,0.003740797,365378516.9,-45.3972,-0.30038765,-0.75642474,-3.04952952,4.50811296,-7.91271629,-21.70321818,2468748681,0.0879,3703388852,2021-11-14T08:47:07.000Z
6945,Amp,AMP,amp,32,2020-09-08T00:00:00.000Z,92547638199,42227702186,99213408535,"{'id': 1027, 'name': 'Ethereum', 'symbol': 'ETH', 'slug': 'ethereum', 'token_address': '0xff20817765cb7f73d4bde2e66e067e58d11095c2'}",69,2021-11-14T08:46:09.000Z,0.057809838,21950317.5,-22.5215,-0.07502935,2.02649712,-2.37550699,27.92750746,13.60566992,-5.06195444,2441176632,0.0869,5350163992,2021-11-14T08:46:09.000Z
5632,Arweave,AR,arweave,37,2020-05-27T00:00:00.000Z,66000000,33394701,63190435,,70,2021-11-14T08:47:07.000Z,71.02198262,85043704.05,-6.8722,-1.78014781,4.26104524,-9.5189995,36.44497034,28.94716294,239.9840805,2371757874,0.0844,4687450853,2021-11-14T08:47:07.000Z
131,Dash,DASH,dash,310,2014-02-14T00:00:00.000Z,18900000,10429131.48,10429131.48,,71,2021-11-14T08:47:03.000Z,225.6763779,304937230.8,-4.0522,-0.63167113,1.2637204,17.98553864,22.5238075,9.74339487,7.35108751,2353608617,0.0838,4265283542,2021-11-14T08:47:03.000Z
